organization_id,organization_name
31460427,Ace Travels and conventions ( Pvt ) Ltd
31439299,Achat Hotel- und Immobilienbetriebsgesellschaft mbH
31464358,Acıbadem Healthcare Group
31387914,Açoreana DMC
31457672,Açores Region
31424788,"Acoya Curacao Resort, Villas & Spa"
31364260,Acquaforte Italian Travel Designer DMC in Italy
31303291,Across Africa Holidays
31233614,Across Spain DMC & Leisure Travel
31463639,ACTIVE INDIA HOLIDAYS PVT. LTD
31456096,Actual Riga Tour
31136404,Adaaran Resorts & Heritance Aarah
22282,ADAC Reisevertrieb GmbH
31367284,Adalya Hotels
31462014,ADAMS BEACH HOTEL
31459186,Ada Tour
31435666,ADA Tours
31457944,Address Hotels + Resorts
31458951,Tourismus Adelboden-Lenk-Kandersteg
31428007,Adex Adventure Expeditions Ltd.
31460429,Adithya Ayurvedha (Pvt) Ltd
20309258,Adobe Rent a Car
31428672,Adore Maledives Pvt Ltd
20126741,Adramar Incoming Services
31276926,Adria Ferries SPA
31460587,Adria Hotel & Resort
31462137,Adunatours Sarl
31167421,ANAKONDA AMAZON CRUISES
31464821,Adventor Hotels
31461360,Adventure Consults Ltd
31102090,Adventure Indonesia
31460249,Adventure in the Wild
31325631,Adventure Pakistan
31339341,Adventures Overland India
20432061,Adventure Tours Pakistan
31443086,"Adventure Travel Trade Association, Inc."
20274716,"Adventure Travel West, Inc."
31459494,ADVPOLAND
31454049,Adyen N.V.
31262676,AEGEAN Airlines
31457175,Aegean Star Hotels
31461337,Aegyptus intertravel
31458831,Aer Lingus
31460103,PEGASUS AIRLINES
31463739,Aeropuerto de La Romana
31424720,Aerticket Gruppe
31459010,Cadiz AET-Asociación Empresas Turísticas
31462947,Afar Bureau Of Culture And Tourism
31461704,Affilired
31460559,AFFILIRED S.L.
31260419,Africa Adventure Vacations
31409233,AFRICA220 EAST AFRICA LTD
31462352,Africa Journeys Ltd.
31428038,African Adventures Specialists
31261133,African Adventure Tours
31383402,African Bush Camps
31231815,African Dreams
20146087,African Eagle DMC
31464925,African Environments Ltd
5505576,African Extravaganza
31012131,African Horizon Travel & Safaris
31262336,African Horizons Travel & Safari Limited
31134659,African Profile Safaris
31463112,African Queen Adventures Ltd
20271541,African Quest Safaris
31463196,African Safari Collective
31372483,African Sun Hotels
31012576,African Synergy
31220801,ATTA® - African Travel and Tourism Association
31366623,Africa on Wheels
31461192,Africa Safari Experts Ltd
31461194,Africa Spirit Srl
31462950,Afropia Tours
31460705,Aga Khan Cultural Services - Egypt
31460636,Agence Sénégalaise de Promotion Touristique
31137593,Agencia de Viajes SOUTH AMERICAN TRAVEL EXPERIENCES SOUTHAMETRAVEL S.A.
604739,Agora Travel S.A.
31459190,A-Group - Hotels & Campings in Friaul Julisch Venetien
31457674,Agua Hotels Spa & Resorts
31460818,aha Hotels & Lodges
31465018,"AH CANCUN, PUERTO MORELOS & ISLA MUJERES"
31462155,AHG Hotel & Resort LTD
20441693,AHK Ecuador
31458450,AHORN Hotels & Resorts in Thüringen
31464037,A Hospital
31456705,A Hoteli
31243991,AIC Service & Call Center GmbH
31410530,AIDA Cruises
31385102,Air Austral
31439855,Airbnb Germany GmbH
20308749,Air Cairo
22772,Air Dolomiti S.P.A.
31461198,Air Europa Lineas Aereas
31072923,Air In Berlin - Hotel GmbH visitBerlin Partnerhotel
20024710,Air India Limited
31464609,airliners.de
31361501,Airlink
31458157,Air Malta
31167834,Air Mauritius
31098822,Air Montenegro
31277396,Air New Zealand
31463618,Air Partner Int. GmbH
31461076,AIRPORTS CORPORATION OF VIETNAM (ACV)
31459510,ACZ
31454468,AT Airporttransfer Limited
31371975,Air Serbia
31460000,Air Tahiti
20434491,Air Tahiti Nui
31068788,Air Tanzania Company Limited
31462744,Air Travel & Tours & Al Maha Rent A Car
31462249,Airtrav Philippines
31382966,Aitken Spence Hotels (Pvt) Ltd.
20127613,Aitken Spence Travels (Pvt) Limited.
31463987,Ajman Hotel
31361829,Ajman Saray a Luxury Collection Resort
31276045,Ajman Department of Tourism Development
31458030,Aju Incentive
31428060,Ajuntament de Felanitx
31457600,Saudi Silk Road
31460848,Akadem Sp. z o.o. (Incoming Polen)
31462460,Akagera Aviation
31462456,Akagera National Park/Nyungwe National Park
20434387,Akassia Swiss Resort
31464393,Akay Travel Service
31460051,Akay Travel
31463090,Akdeniz Travel Agency
31456938,Las Habitaciones de Akelarre
31341857,Ak-Sai Travel
31366875,Akumal Bay Beach & Wellness Resort
31457914,Akureyri Whale Watching
31464736,AKZHOL TRAVEL LLP
31456372,A la carte travel EPE
31136061,"Grupo ANC - Alamo Rent a Car, National Car Rental & Enterprise Rent a Car"
31434554,Alamos Travel Service
31463959,Alanya Turkiye Alanya Touristic Hotelier
31141471,Alaska Railroad Corporation
20274727,Alaska Travel Connections LLC
31348956,Al Awael Travel
31277962,Alaya Resort Ubud
31464702,ALBAINCOMING EUROFIRST TOURS
31424759,Al Bait Hotel
31457315,Albania DMC-Balkan Tour Operator
31457346,Albania Express Travel-DMC Balkan tour operator
31324552,Albania Holidays DMC
31051393,Albanian National Tourist Agency
31413707,Albanian Tour Operators Association
31413706,Albanian Tourism Union
31260044,Albanian Travel and Hospitality Service
31457351,Albanian Treasures
31460418,Albatros Arctic Cicle
31422042,Albatros Expeditions
31459012,Albatros Tours
20146094,Albatros Travel Africa
31464005,Al Bdayer Retreat
31143745,Albena  JSCo
31457606,Alboraq DMC
31012803,La Hacienda Alcaidesa Links Golf Resaort
31461299,Rialma Group
31427780,Alcazar Co. Ltd.
31099198,"Alcúdia, Mallorca"
31432157,ALDAU Development
31457173,Aldemar Resorts
31168363,Alentejo Tourism Board
31166019,"Ålesund & Sunnmøre, Destination"
31454449,Aletris Hotels
31462127,aletto Hotels
31242531,ALEXALA - Tourist Board Alessandria & Monferrato
31407098,Alexander Beach Hotel &Village Resort
31465452,Alexandra Friedhoff Nutrition and Health Coach LCHF
31457602,Al Faisaliah Hotel
31464035,Alfa Tip Hospital
31461367,Al- Fayoum
31457677,Algarve Race Resort
20410896,Algarve Tourism Board
31226135,"Algeria, National Tourism Board National Tourism Office"
31459514,Algeria Dmc
31464983,Alhind Tours and Travels
31390576,Alicante Turismo
31389799,Alico Tours DMC
31459385,Alilaguna Venezia
31458680,Alila Kothaifaru Maldives
31393130,Al Inajaz Travel and Tourism Company LLC
31408494,Alisa Hotels
31457990,Alizee Resort Management Ltd Casuarina Resort + Le Cardinal Exclusive
31461042,ALLEGROITALIA SAN GALLO FIRENZE
31427117,Allgemeiner Deutscher Fahrrad-Club e.V. (ADFC)
31101632,AlliedTPro
31463064,B Adventure (All Jordan Tours)
20224386,ANA All Nippon Airways
31194899,All Pacific Travel Concept (APTC)
653445,alltours flugreisen GmbH
31459660,Alltrip Travel Real Avia Business
31462748,Al Maamari Tours
31457604,Al Madinah Region Development Authority
31458362,Parkring 14-16 Immobilienverwertung GmbH
31461073,ALMA RESORT CAM RANH
31464081,Almaysara Travel & Tourism Co. Ltd.
31465239,Al Medinah Development Authority (MDA)
31456550,Almere City Marketing
31133027,"Almería Turística, Empresa Municipal"
31388495,Almería Tourism Board
31463043,"Al Messila, Luxury Collection Resort and Spa Doha"
31050886,Aloes Travel Tours
31348199,Aloft Cancun
31461052,Aloft Kathmandu Thamel
31462742,Aloft Muscat
31136385,Alpbachtal Tourismus
31458441,ALPEN AIR Rundflüge
31326754,alpetour Touristische GmbH
31364581,Alpha Hotel Management (AHM)
31162980,ARP Africa Travel Ltd
31460589,Alpinia Hotels Bohinj Lake
31460591,Alpinum hoteli d.o.o.
31457608,ALSHAHIN
31464996,Altanueva Seven Tours
31194124,Al Thuraya Travel & Tours
31013199,ALTIS HOTELS - Lisbon and Porto - Portugal
31428841,Altmärkischer Regionalmarketing- und Tourismusverband
31457610,Alula Guide
31465190,Alwadi Doha - MGallery Hotel Collection
31462601,Always Spain Incoming
31463760,Amadeo Travel Solutions
31401357,Amadeus
31442785,Amadeus Flusskreuzfahrten GmbH
20301963,Amadeus Travel Agency
31071912,Amahoro Tours
31460843,Amakhala & Lion Roars Hotels & Lodges
31463247,Amakhala Game Reserve
31459511,Amalinda Safari Collection
31465366,Aman Ethiopia Tours and Travel
31300148,AMANO Group - visitBerlin Partnerhotel
31464990,Amara Ayurveda Retreat
31327212,Amari Havodda Maldives
31435320,Amarina Hotels & Resorts
31464653,Amari Raaya Maldives
31232746,Amazilia Travel
31456354,Amazing Africa
31463526,Amazing Jerusalem Boutique & Private Tours
31459872,Amazing Morocco DMC
31465373,Amazonas
31459119,Amazon Explorama Lodges
31435675,Amazon Lord Ecotour And Sport Fishing
31459121,Amazon Muyuna Lodge
31462925,Amber Tours
31463327,Ambiance Holidays
31459919,American Airlines
20413353,American Express Europe S.A.
31460230,American Hotel & Lodging Educational Institute
31459912,American Queen Voyages
31141480,"American Ring Travel, Inc."
31463018,AMG Tours
31460829,AM Hoespruit Lodge
20273083,Amiel
31459358,Amigo Rent a Car Costa Rica
31366227,Aminess Hotels & Campsites
31051886,Amin Kawar & Sons
31196812,Amorita Resort
31346663,Amsterdam Manor Beach Resort
31458406,"Tourismusverband ""Liebliches Taubertal"" e.V."
31464404,Ananda Lakshmi Ayurveda Retreat
31368929,Anantara and Avani+ Riverside Bangkok
31458224,Anantara Desaru Coast Resorts and Villas
31172057,Amritara Hotels & Resorts Pvt Ltd.
31459543,Anantara Iko Mauritius Resort & Villas
31458759,Anantara Kihavah Maldives Villas
31464250,Anantara Maia Seychelles
31463315,Anantara New York Palace Budapest Hotel
31462698,Anantara Rasananda Koh Phangan Villas
31462781,Anantara Resorts Oman
31457947,Anantara The Palm Dubai Resort
31389949,Aanari Hotel & Spa
31462953,Anbessa Travel
31458212,Ancasa Hotels & Resorts
31459860,Visit Anchorage
31230688,Andalucía - TURISMO ANDALUZ
31431782,ANDAZ MAYAKOBA RESORT RIVIERA MAYA
31192335,andBeyond South Africa Travel PTY LTD
20126806,Andean Adventures Peru
31361316,Andean Travel Company Cia. Ltda
31234456,Andes Nativa
31102387,Andratx
20272708,Andre Tours DMC Portugal
31459785,Andrew The Travel Company (Pvt) Ltd
31456977,Aneka Kartika Tours & Travel Services
5952462,ANEK LINES S.A.
31456979,Anema wellness & Resort Lombok
20145281,Anemi Hotel & Suites
31366425,Anemos Luxury Grand Resort
31458333,ANEW Hotels & Resorts
31358612,ANEX Tour GmbH
31388010,Angela Shanley Associates Ltd (ASA)
31349643,Angkor Destination Travel
31464893,Animod
31463186,ANIXE Polska Sp. z o.o.
31232779,Aniyami - Brazil Travel Experience
20430777,"Annset Holidays, Inc."
31461683,ANRIVA TOUR LLC
31455993,Ant's Hill
31433651,ANTAB
31454678,Antalya Metropolitan Municipality
31406986,Antarctica21
31459198,ANTARES HOTEL CONCORDE
31463408,Antarpply Expeditions
31195222,Antelope Safaris Ltd.
31464729,ANTICO BORGO DI ALBE
31462399,Antigua and Barbuda Tourism Authority
31372121,Anxur Tours
31362746,ANZ Nature Tours HTG Ltd
31138491,All Pacific Travel Concept
31384593,Apaleo GmbH
31406984,Apaleo GmbH
31462909,Apex Alliance Hotel Management
31387849,AP Hotels & Resorts
31458283,Apiso.io
31461482,Apit Malaga
31327100,Apollo Tourist Service
31460433,Apple Holidays Destination Services (Pvt
31455999,"Apple Travel Service CO.,LTD."
31461137,"""APR"" LLC"
20303286,"APSARA Tours Co.Ltd,"
31328883,APTA
31431474,APT Regione Basilicata
31459273,Apukka Resort
31432817,Apulia Hotel Group
31170705,Aqaba Tourism
31199641,Aqua Hotel Grup
31347086,Aqualux Hotel Suite & Spa
31457682,AQUALUZ LAGOS BY THE EDITORY
31457680,Aqua Natura Hotels
31457208,AQUATROTTERS L.P.
31194290,Aquila Collection
31138443,Aquila Hotels
31461842,Araamu Holidays & Spa
20191029,Arabian Adventures
31173103,Arabian Adventures Qatar
31462784,Arabian connections Modern LLC
31461207,Arabian Experience
31345368,Arabian Explorers
31457966,Arabian Travel Bureau
31428895,Arabica Orient Tours
20309651,Gobierno de Aragón
31361991,Araliya Green Hills Hotels (Pvt) Ltd.
31460435,Araliya Unawatuna Beach Hotel (Pvt) Ltd
31459971,Aranui Cruises
31459360,ARA Tours Costa Rica
20153505,ARA Tours Costa Rica
31458905,ARATOURS SA
31462293,Araw Hospitality Inc.
31462683,Arbaspàa srl
31349689,ARGE Lateinamerika e.V.
20277318,Arbeitsgemeinschaft Karibik e.V.
31456456,Arbeitskreis Tourismusforschung in der Deutschen Gesellschaft für Geographie e. V.
31456677,ARBER-BERGBAHN - Großer Arber
31456679,Arberland Landkreis Regen Tourismus- und Freizeitförderung
31464097,ARCADIA TRAVEL MADAGASCAR
31460170,Arcanus Side Resort
31460209,Archeotour
31340344,arcona HOTELS & RESORTS
31457406,ARCOTEL Hotels & Resorts GmbH
31456460,Arctic Adventures
31460420,Arctic Excursions
31462668,ARCUS OUTLET COLLECTION
31462107,Arcus Technologies Ltd
31235702,Arcus Tours
31323686,ARENA DI VERONA OPERA FESTIVAL
5507867,Arena Hospitality Group
31463961,Arenametrix
31459370,Arena Tourist
31138170,Camara Argentina de Turismo
31127691,Argentina Instituto Nacional de Promoción Turística
31136335,Arlberg Marketing GmbH
31423011,Armenia State Tourism Committee of the Republic of Armenia
31461708,Armenia by Asya-Ararat Travel
20308467,Armenia Holidays Operated by Elitar LLC
31461687,Armenia Travel
31431748,ArmeniYan Style Travel (operated by Loca Travel company)
20410742,Armen Tour LLC
31461729,ArmeTour
31461749,Arminius LTD
31461690,ARMINTOUR CJSC
31459015,Armitour
10278218,Armotours
31461715,ARMROUTES
31463189,AROBS
31382806,Aronda Adriana Travel d.o.o.
31461509,A-ROSA Flussschiff GmbH
31457684,Arouca Geopark
31464367,Hotelistan Global Travel Services
20308250,Arp-Hansen Hotel Group
31194225,Arp Museum - Bahnhof Rolandseck
31464480,ARRIVAL
31464902,Arriva Travel
31261006,art cities Reisen
31461824,ArtNatura Galicia S.L.
31456982,ARTOTEL GROUP
31364502,AR Tour Prague DMC & incoming Tour operator
20275684,Aruba Hotel and Tourism Association
31433742,Aruba Ocean Villas
20152204,Aruba Tourism Authority
31464146,ARUNACHAL TOURISM
31465496,ASA
31465390,As Brasil Dmc
31457639,Aseer Development Authority
31408503,Ashanti African Tours Ltd
31459209,AS Hotel Milano-Monza-Brianza
20273254,Ashtar Tours International
31193364,Asia Adventures
31461071,ASIA AVENTURA TRAVEL COMPANY
31461116,"ASIA DMC., JSC"
31261503,Asia Expeditions
31457909,Asia Experience Travel Sdn Bhd
31457359,Asiana Airlines
20175765,Asian Overland Services Tours & Travel Sdn. Bhd
497880,Asian Trails Ltd.
31461108,"ASIA PACIFIC TRAVEL CO., LTD"
31463920,Asia Tour Elite
31259517,Asilia Africa
31460029,Aska Hotels
31459279,Askeladden Reiser AS
31460018,Askostours
31443605,Asksuite
31456908,Asociación de CAMPOS de GOLF de MADRID
31461813,Asociación Española de emprendedores turísticos
31462204,Asociación Hotelera Playa De Muro
31005481,asr Allianz selbständiger Reiseunternehmen - Bundesverband e.V.
31426301,AS Salaam Air (Z) Co. Ltd
31347761,Assaraya Travel & Tourism LLC
31199723,ASSD Hotel und Hostelsoftware
31460085,Assistance Tour LTD
20434733,Association of Hotels and Restaurants of Latvia
31461595,Association Of Cyprus Tourism Enterprise
31463900,TÜRSAB - Association of Turkish Travel Agencies
31462009,Association Tourism Cluster Herzegovina
31464725,ASSOCIAZIONE ALBERGATORI E OPERATORI TURISTICI SILVI
31465197,Associazione Turistica di Quartu Sant'Elena
31431506,Associazione Arena Sferisterio Teatro di Tradizione
31407663,Associazione Riviera del Conero e Colli
31433264,A Star Mongolia LLC
31099533,Asterias Beach Hotel
31461880,Asterix tourism Service Limited
31464429,Asteths Art Hotel
20306411,Astrida Travel
31462252,Astrokidd Travel and Tours
5508251,ASTURIEN - GRÜNES SPANIEN
31047670,Asur Mexico's Leading Airports
31461375,Aswan
31391331,Atacama Spirit Chile
31462769,Atana Hotels
31199498,ATG - Africa Travel Group
31401865,ATG Hotels - Selectum Hotels & Resorts
31457661,Athaar Arabia
31461599,At Herbal Hotel
31459216,ATICO MARE DI IDAC SRL
20174609,"ATIS, a.s."
31457106,ATI Travel
31457210,Atlantica Hotels & Resorts
31456452,ATLANTIC Hotels
31173874,Atlantis Paradise Island
31458516,Atlantis Dubai
31410131,Atlas Hospitality
31463498,Atlas Travel & Tourist Agency
31464110,ATLASVIAJES CIA. LTDA.
31348494,Atlas Voyages
31461383,ATL del Cuneese (Fremdenverkehrsverein der Alpenregion Cuneo)
31144134,atmosfair gGmbH
31456570,Atmosphere Hotel & Resorts
31458784,Atolls World
20409441,Atomium
31456856,Atomize
31167224,Atrium Hotels & Resorts
5508433,ATR Touristik Service GmbH  A.T.R
20145977,ATS Pacific Australia
31463101,ATTA (association of travel and tourism agents in iraq)
31464397,Attelia Dental Hospital
31366429,"Attica Group (Superfast Ferries, Blue Star Ferries, Hellenic Seaways, Africa Morocco Link)"
31457005,Attika Premium (QLS Travel ltd)
31457212,Attika Reisen
31143913,Attitude Hospitality Management LTD
31237398,Attractive Travel
31364275,ATVO Spa
31386733,Atv Srl Bus Dienst Gardasee Verona
31463453,Audamar - Argentina Incoming TO
31070088,AUDI AG
31259499,Auric Air Services Ltd.
31263299,Aurora Lapland Travel Ltd
31260260,Aurora Travel & DMC
20409178,Tourismusverband Ausseerland Salzkammergut
31456373,Australia One
31136445,Tourism Australia
31460781,Australis - Cape Horn & Patagonia
31408776,Austrian Leading Sights
31365746,Autatlantis Rent-a-car
31427878,Authentic Asia
31324828,Authentic Borneo Tours Sdn Bhd
31428467,Authentic Madagascar Tours
31456171,Authentic Retreats
31426279,Autocares Julia
31464884,Automice
31456207,Autostadt GmbH
31456117,Autounion Car Rental
31358994,Avance Car Rental
31436009,Avani+ Koh Lanta Krabi Resort
31302585,Avatar Tour Ltd.
31464058,"Ave Tour, Explorer & Travel"
31390914,Aventura Do Brasil
31458350,AVANTRA SAFARIS
20192465,Aventuras Tierra Verde
31435572,Aventure Colombia
31241137,Air Astana JSC
5508694,Aviatur
20433438,Avila Beach Hotel
31280496,Avis Rent a Car Sasana Tours
31264602,Avi Travel
31457121,Avonwin Holdings Tours Limited
31426815,AVRA Tours / Brown Hotels Greece
31458410,AVS Abrechnungs- und Verwaltungs-Systeme GmbH
31453255,Awaze
31429937,AWG Ambassador LLC
31456388,Axent International AG
31427257,AX HOTELS
31017561,axica Kongress- und Tagungszentrum Pariser Platz 3 GmbH
31457688,Axis Hoteis
31462814,Ayada Maldives
20305515,Ayia Napa Protaras Tourism Board
20303308,Mijas Town Hall
31407672,Antequera Town Hall
31392813,Benalmádena Town Hall
31461832,Ayuntamiento de Calp
31392777,Fuengirola Town Hall
31392811,Torremolinos Town Hall
31392822,Torrox Town Hall
31426995,Rincón de la Victoria Town Hall
31465030,"AyurVAID Himalayas, Centre for Ayurveda"
31461381,Azal Hotels & Resorts Sun ( Sun West Hos
31276759,Azerbaijan Airlines
31465192,Azerbaijan Hotel Association
31410220,Azerbaijan Tourism Board
31463420,Azeta Incoming Argentina
20145285,Azia Beach Hotel
31463684,AZIENDE ALBERGHIERE BETTOJA SPA
31459019,Azimuth Spain
31391712,Azimut Tour Operator & Dmc
31365753,Azoris Hotels & Leisure
31406134,Azuki Tours
31435406,Azul Brazilian Airlines
31234520,Azur Hotels & Resorts
31464100,AZUR SERVICES TOURS
31465462,Azzi Holidays
31134702,B&B Hotels Germany GmbH
31461390,Baboon Adventure Safaris Ltd
31363721,Internationale Bachfeste Schaffhausen
31350669,Half Moon Blue Resorts
31460535,Bademtour
31192935,Baden-Baden Kur & Tourismus GmbH
31463868,Baden bei Wien
31230537,"Baden-Württemberg, Tourismus Marketing GmbH"
31463551,Kulturhauptstadt Bad Ischl - Salzkammergut 2024 GmbH
31368174,Baglioni Resort Maldives
20145922,Bahamas Tourist Office
20113460,Bahia
20175867,Bahía del Duque
31011638,Bahía Principe Hotels & Resorts
31297722,Bahnreisen Sutter
31459421,Bahnurlaub.de
31368305,Visit Bahrain
31460755,Visit Bahrain
20435078,Bahrain International Travel Group
31367423,Bahrain Tourism and Exhibitions Authority
31462752,Bahwan Tourism LLC
31460056,BAIA LARA HOTEL
31459709,"Baksey Sour Voyages Co., Ltd"
31464337,Baku Holiday Travel
31465006,BalatonBIKE365
31464046,Balcova Thermal Hotel
31321918,Balearic Islands - Mallorca - Menorca - Ibiza - Formentera
20194057,Bali Hai Cruises
31198164,Bali Mandira Beach Resort & Spa
20125240,Bali Tropic Resort & Spa
31463564,Balkan Destination
31350590,Balkan Natural Adventure
31456712,Balkan Roads d.o.o
31100882,Baltcoming
31462914,Baltic Blues Travel
31425924,Baltic Nature Travel
31196222,Reiseveranstalter Baltic Saitas
20430666,Baltic Tours DMC
31278410,BaltTours
31461102,Bamboo Airways JSC
31234248,Banco Popular Dominicano
20308435,Bandara Hotels & Resorts
31343915,Bandos Maldives
31462700,Bangkok Airways Public Company Limited
31268620,Bangkok Hospital
31259142,Bangkok Metropolitan Administration
31141485,Bangkok Palace Hotel & Cholchan Pattaya Beach Resort
31256021,Bangladesh Tourism Board
31368128,Banreservas
31465345,Banreservas
31073760,Banyan Tree Bangkok
31433233,Banyan Tree Doha at La Cigale Mushaireb
31462319,Banyan Tree Tamouda Bay
31454435,Barbados
31463824,Barceló & Occidental Hotels Czech Republic
31385904,Barceló Hotel Group
31458880,Barceló Mussanah Resort
31461332,Barcelonas Provinze Regierung
31368409,Bariloche
31458374,BaronFleet Technologies Trading
31461398,Baron Hotels & Resorts Egypt
20194015,Baron Travel Corporation
31329418,Barracuda Tours
31283629,Tourismusorganisation Bar
31136168,Barut Hotels
31463792,Basecamp523
31411585,Basecamp Explorer Kenya
31458907,Basel Tourismus
31464043,Baskent University Healthcare Group
31428611,BASQUE DESTINATION SL
31323366,Batavia Stad Amsterdam Fashion Outlet
31460286,Bauhaus Kooperation Berlin Dessau Weimar
31463652,Bauwerk IO
31458415,Bayer. Staatsbad Bad Kissingen GmbH
10264267,Bayerischer Heilbäderverband
31303177,Bayerischer Landes-Sportverband e.V.
31345432,Bayerischer Wald TVO
525794,Bayern Tourismus Marketing GmbH
31457485,Bayreuth Marketing & Tourismus GmbH
31456448,Bay Watch Travel srl
31462899,BB Travel LLC
31460974,BDMX INCOMING - the mexican experts
31405459,B-APARTHOTELS
31459021,Beatriz Ballesta Comunicación
31435687,BeBrazil Travel Partners
31425265,Beckerbillett GmbH
31443325,BEDS 4 GREECE SA
31463274,Bee Africa Travel and Tours
31465518,Bees
31460292,Internationale Beethovenfeste Bonn gGmbH
31457690,Belive Hotels
31433237,Belize Hotel Association
31420881,Belize Tourism Board
31388113,Bella Aventura Costa Rica
31461401,Bellagio Beach Resort & SPA
31460800,Bellavista Hotel Terme & Resort
31383634,Belvelo
31458199,Benediktinerstift Melk
31443452,BeNe Rail International NV
20432991,Visit Benidorm
20304873,BenLeToni Tours | Incoming Greece
31301374,Bensaude Hotels
31407952,Benson Safaris Tanzania
31458646,Beond Holding Limited
31463250,BEONx
31459748,VISIT BERGAMO
31463689,Bergamo-Brescia: Italienische Kulturhauptstadt 2023
31260741,Visit Bergen
31231029,Berjaya Eden Park London Hotel
31464253,Berjaya Hotels & Resorts
31453367,Berlin Brandenburg Airport
31342611,Berlin Health Excellence
803498,Berlin Tourismus & Kongress GmbH / visitBerlin
31366382,Berlin Travel Festival
31392609,Bermark Incoming GmbH
31460439,Bernard Tours (Pvt) Ltd
31456870,berner+becker revenue management
10192127,BERO BERLIN Eurolimousine
31463765,Best Day Travel SRL
31233586,bestfewo.de / BestSearch Media GmbH
31388473,BEST HOTELS
31461784,BESTIME GOLF - BEST GOLF
31434103,Best of Bahrain
31460348,Best of Lanka (Pvt) Ltd
31461065,"BestPrice Travel., JSC"
31461303,Best Western Plus Executive Hotel and Suites
31457747,Best Western Premier Bayphere Pattaya
31367673,Betterspace GmbH
20058643,Betuyab Belek Yatirimcilari Turizm Ortak Girisimi A. S.
31463705,BEVERLY VACANZE Srl
31458389,BEWOTEC GmbH
31461153,Beyond Adventure and Tourism DMC
31465287,Beyond the Valley
31463442,BG Marketing & Sales Hotel
31343211,Bhara Tours
31461063,BHAYA - THE CRUISE COMPANY
31457617,"Bhutan, Blue Poppy"
31456046,Bhutan DMC
20297215,Bhutan Tourism Corporation Ltd. (BTCL)
31167186,"Bhutan Wind Horse Tours, Treks and Expeditions"
31261519,Bibione Live - Consorzio Di Promozione Turistica
31462024,Big Bus Tours GmbH
20271759,Big Game Parks
31390173,BIG HOLIDAY INTERNATIONAL
31459226,BikeandGo Travel - Tour Operator
31464727,BIKELIFE / HIKELIFE Tour Operator
31459249,BIKESPLUS
31428592,BILBAO Bizkaia
31462315,Billal Jamal Nasser for Trading and Services (BJNCO RVS)
31457626,Bintan Resorts
31458457,BioCon Valley GmbH
31456914,BIOPARC VALENCIA
31463781,Bird Airport Hotel Pvt Ltd
31458852,Bishops Gate Hotel Derry
31461157,Bizcon Holidays
31389968,Blacksheep SAS
31461876,Blair Castle and Gardens
31441769,BLASTNESS
31462826,Bliss Maldives
31136269,Blue and White Tours
31076420,BlueBay Hotels Zanzibar
31346562,BLUEBAY HOTELS
31463763,Blue Diamond Resorts
31457193,bluegr Hotels & Resorts
10072376,Blue Horizons Travel & Tours Co.
31456320,Blue Lagoon
20459081,Blue Lagoon Beach Hotel Co Ltd
31453459,Blue Lagoon Group Greece
31387136,Blue Ribbon Bags
